textA,textB
A man is playing football,A person is kicking a ball
The sky is blue,The ocean is blue
She is eating an apple,She is eating a fruit
He is sleeping,He is running
A woman is cooking dinner,A lady is preparing a meal
A dog is barking,A cat is meowing
Children are playing in the park,Kids are enjoying at the playground
The car is red,The vehicle is red
Birds are flying in the sky,Fish are swimming in the sea
He is reading a book,He is watching a movie
She is writing a letter,She is writing a note
A boy is climbing a tree,A child is scaling a tree
The lights are on,The lights are off
He is drinking coffee,He is having tea
They are walking in the forest,They are hiking in the woods
The sun is shining,It is a sunny day
A man is riding a bike,A man is riding a bicycle
The girl is painting a picture,The girl is drawing
He is taking a nap,He is sleeping
The room is dark,The room is bright
A woman is driving a car,A woman is cooking
The cat is sleeping on the bed,The cat is resting
She is playing the guitar,She is playing an instrument
The child is crying,The baby is laughing
He is jogging in the morning,He runs every morning
They are studying for exams,They are reading books
